complaint_number,name,phone,aadhaar,address,complaint_text,complaint_type,assignee,sla_date,sla_days,support_level_1,support_level_2,status,submission_time,mandal,village
AP-2025-730218,Bhavani Goud,9913412639.0,XXXX-XXXX-2639,"D.No. 8/3, Ramalayam St, Hamsavaram, Gannavaram Mandal","Overcrowding & Bus Fleet Shortage in Gannavaram
To:
The Regional Manager,
APSRTC, Gannavaram Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Gannavaram Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inco...",APSRTC bus services,Civil Supplies Inspector,2025-08-20,7,,,Inspected,2025-07-14 10:24:41,Gannavaram,Hamsavaram
AP-2025-505217,Prasad Sastry,9896911933.0,XXXX-XXXX-1933,"D.No. 2/6, Temple St, Penuganchiprolu, Nandyal Mandal","Overcrowding & Bus Fleet Shortage in Nandyal
To:
The Regional Manager,
APSRTC, Nandyal Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Penuganchiprolu - Nandyal Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading t...",APSRTC bus services,Assistant Engineer (RWSS),2025-08-20,7,,,Resolved,2025-07-20 10:24:41,Nandyal,Penuganchiprolu
AP-2025-639493,Ramesh Chowdary,9846931964.0,XXXX-XXXX-1964,"D.No. 155/9, Main Road, Kollipara, Cheepurupalle Mandal","AP Police Seva App Downtime
To:
The Superintendent of Police,
Vizianagaram, Andhra Pradesh.
Subject: Inconvenience Due to Non-Functioning of AP Police Seva App
Respected Sir/Madam,
The AP Police Seva mobile application, which is widely used for online complaint registration, traffic challan payments, and safety alerts, has been inaccessible since 31/07/2025. This is causing significant inconvenience to citizens, as we are unable to file complaints or check case updates digitally.
I request yo...",Police/cyber services,MEO (Mandal Education Officer),2025-08-18,5,,,Work Order Issued,2025-07-15 10:24:41,Cheepurupalle,Kollipara
AP-2025-137322,Praveen Rao,9614920355.0,XXXX-XXXX-0355,"D.No. 170/8, Market Road, Atmakur, Gudivada Mandal","Overcrowding & Bus Fleet Shortage in Gudivada
To:
The Regional Manager,
APSRTC, Gudivada Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Gudivada - Atmakur. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inconvenie...",APSRTC bus services,Assistant Engineer (PR),2025-08-20,7,,,Assigned,2025-07-23 10:24:41,Gudivada,Atmakur
AP-2025-880579,Venkatesh Babu,9832495645.0,XXXX-XXXX-5645,"D.No. 172/9, Gandhi St, Tadepalle, Ichchapuram Mandal","Overcrowding & Bus Fleet Shortage in Ichchapuram
To:
The Regional Manager,
APSRTC, Ichchapuram Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Ichchapuram - Tadepalle. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to...",APSRTC bus services,Assistant Supply Officer,2025-08-20,7,,,Verification Completed,2025-07-22 10:24:41,Ichchapuram,Tadepalle
AP-2025-942650,Bhavani Kumar,9892497041.0,XXXX-XXXX-7041,"D.No. 199/2, Ramalayam St, Peddapuram, Gudivada Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Krishna District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Peddapuram whose livelihood has been severely impacted by crop failure due to drought. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 28/07/2025, I have not yet received any relief amount. ...",Crop damage assessment request,MPDO / Programme Officer (MGNREGS),2025-08-28,15,,,Payment Initiated,2025-07-31 10:24:41,Gudivada,Peddapuram
AP-2025-668174,Kalyan Varma,9925340720.0,XXXX-XXXX-0720,"D.No. 68/5, Ramalayam St, Bhogapuram, Bapatla Mandal","Land Mutation Delay / False Closure of Grievance
To:
The Tahsildar,
Bapatla, Andhra Pradesh.
Subject: Request for Immediate Action on Pending Land Mutation and False Closure of Grievance
Respected Sir/Madam,
I am writing to bring to your attention that my grievance regarding the mutation of my agricultural land in Survey No. 151/11, located in Bhogapuram/Bapatla, was closed on the Public Grievance Redressal Portal as ""resolved"" on 17/07/2025. However, no action has been taken and the mutation...",Land mutation/name correction pending,Senior Assistant (Revenue),2025-08-28,15,,,Assigned,2025-07-22 10:24:41,Bapatla,Bhogapuram
AP-2025-952927,Anitha Prasad,9919761323.0,XXXX-XXXX-1323,"D.No. 194/2, Gandhi St, Nakkapalle, Peddapuram Mandal","Overcrowding & Bus Fleet Shortage in Peddapuram
To:
The Regional Manager,
APSRTC, Peddapuram Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Peddapuram - Nakkapalle. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to i...",APSRTC bus services,Line Inspector,2025-08-20,7,,,In Progress,2025-08-08 10:24:41,Peddapuram,Nakkapalle
AP-2025-625567,Ramesh Nair,9966813220.0,XXXX-XXXX-3220,"D.No. 65/18, Main Road, Kuchipudi, Kolluru Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Guntur District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Kuchipudi whose livelihood has been severely impacted by crop failure due to drought. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 14/07/2025, I have not yet received any relief amount. Se...",Crop damage assessment request,Technical Assistant (MGNREGS),2025-08-28,15,,,In Progress,2025-08-01 10:24:41,Kolluru,Kuchipudi
AP-2025-484251,Venkatesh Sastry,9687534044.0,XXXX-XXXX-4044,"D.No. 185/9, Ambedkar Nagar, Hamsavaram, Gudivada Mandal","Overcrowding & Bus Fleet Shortage in Gudivada
To:
The Regional Manager,
APSRTC, Gudivada Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Hamsavaram - Gudivada Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to ...",APSRTC bus services,Assistant Supply Officer,2025-08-20,7,,,Assigned,2025-07-31 10:24:41,Gudivada,Hamsavaram
